Level,Date and Time,Source,Event ID,Task Category
Information,16-02-2019 15:35:59,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:57.864
EV_RenderedValue_2.00
4
System
NT AUTHORITY\SYSTEM
tcp
False
False
10.0.2.17
PC01.example.corp
139
netbios-ssn
False
10.0.2.18
PC02
49187

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:59,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:57.861
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
False
True
ff02:0:0:0:0:0:1:3
5355
llmnr
True
fe80:0:0:0:647b:25b7:1cc4:b972
PC02
64257

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:59,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:57.861
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
True
False
10.0.2.17
PC01.example.corp
5355
llmnr
False
10.0.2.18
PC02
52894

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:59,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:57.860
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
False
False
224.0.0.252
5355
llmnr
False
10.0.2.18
PC02
52894

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:59,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:57.859
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
False
True
ff02:0:0:0:0:0:1:3
5355
llmnr
True
fe80:0:0:0:647b:25b7:1cc4:b972
PC02
55679

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:46,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:45.913
EV_RenderedValue_2.00
1608
C:\Windows\System32\svchost.exe
NT AUTHORITY\LOCAL SERVICE
udp
False
False
239.255.255.250
1900
ssdp
False
10.0.2.16
52122

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:46,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:45.826
EV_RenderedValue_2.00
4
System
NT AUTHORITY\SYSTEM
tcp
False
False
10.0.2.17
PC01.example.corp
139
netbios-ssn
False
10.0.2.18
PC02
49186

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:46,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:45.818
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
False
True
ff02:0:0:0:0:0:1:3
5355
llmnr
True
fe80:0:0:0:647b:25b7:1cc4:b972
PC02
61049

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:46,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:45.815
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
True
False
10.0.2.17
PC01.example.corp
5355
llmnr
False
10.0.2.18
PC02
62053

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:46,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:45.815
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
False
False
224.0.0.252
5355
llmnr
False
10.0.2.18
PC02
62053

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:46,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:45.814
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
False
True
ff02:0:0:0:0:0:1:3
5355
llmnr
True
fe80:0:0:0:647b:25b7:1cc4:b972
PC02
59302

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:34,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:33.776
EV_RenderedValue_2.00
4
System
NT AUTHORITY\SYSTEM
tcp
False
False
10.0.2.17
PC01.example.corp
139
netbios-ssn
False
10.0.2.18
PC02
49185

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:34,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:33.769
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
False
True
ff02:0:0:0:0:0:1:3
5355
llmnr
True
fe80:0:0:0:647b:25b7:1cc4:b972
PC02
62259

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:34,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:33.767
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
True
False
10.0.2.17
PC01.example.corp
5355
llmnr
False
10.0.2.18
PC02
51695

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:34,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:33.767
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
False
False
224.0.0.252
5355
llmnr
False
10.0.2.18
PC02
51695

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:34,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:33.766
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
False
True
ff02:0:0:0:0:0:1:3
5355
llmnr
True
fe80:0:0:0:647b:25b7:1cc4:b972
PC02
63309

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:26,Microsoft-Windows-Sysmon,5,(5),"The description for Event ID 5 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:26.539
EV_RenderedValue_2.00
1908
C:\Windows\System32\AtBroker.exe

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:26,Microsoft-Windows-Sysmon,5,(5),"The description for Event ID 5 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:26.529
EV_RenderedValue_2.00
3204
C:\Windows\System32\csrss.exe

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:26,Microsoft-Windows-Sysmon,5,(5),"The description for Event ID 5 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:26.519
EV_RenderedValue_2.00
2988
C:\Windows\System32\winlogon.exe

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:26,Microsoft-Windows-Sysmon,5,(5),"The description for Event ID 5 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:26.519
EV_RenderedValue_2.00
2920
C:\Windows\System32\LogonUI.exe

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:26,Microsoft-Windows-Sysmon,1,(1),"The description for Event ID 1 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:26.459
EV_RenderedValue_2.00
1908
C:\Windows\System32\AtBroker.exe
6.1.7600.16385 (win7_rtm.090713-1255)
Transitions Accessible technologies between desktops
Microsoft® Windows® Operating System
Microsoft Corporation
atbroker.exe
C:\Windows\system32\
PC01\IEUser
EV_RenderedValue_12.00
157270
1
High
SHA1=1B376C177C5629C0E620431AF1A9E8C16BF23D53
EV_RenderedValue_17.00
456
C:\Windows\System32\winlogon.exe
winlogon.exe

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:25,Microsoft-Windows-Sysmon,6,(6),"The description for Event ID 6 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:25.428
C:\Windows\System32\VBoxDisp.dll
SHA1=0D14114598EE4A3080B9F9083AE5A3339D429737
true
Oracle Corporation
Valid

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:22,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:21.740
EV_RenderedValue_2.00
4
System
NT AUTHORITY\SYSTEM
tcp
False
False
10.0.2.17
PC01.example.corp
139
netbios-ssn
False
10.0.2.18
PC02
49184

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:22,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:21.738
EV_RenderedValue_2.00
4
System
NT AUTHORITY\SYSTEM
udp
True
False
10.0.2.17
PC01.example.corp
137
netbios-ns
False
10.0.2.18
PC02
137
netbios-ns

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:22,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:21.734
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
True
False
10.0.2.17
PC01.example.corp
5355
llmnr
False
10.0.2.18
PC02
57255

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:22,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:21.733
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
False
False
224.0.0.252
5355
llmnr
False
10.0.2.18
PC02
57255

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:22,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:21.730
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
True
False
10.0.2.17
PC01.example.corp
5355
llmnr
False
10.0.2.18
PC02
61795

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:22,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:21.729
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
False
True
fe80:0:0:0:647b:25b7:1cc4:b972
PC02
49478
True
fe80:0:0:0:80ac:4126:fa58:1b81
PC01.example.corp
5355
llmnr

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:22,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:21.729
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
False
False
224.0.0.252
5355
llmnr
False
10.0.2.18
PC02
61795

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:22,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:21.728
EV_RenderedValue_2.00
1276
C:\Windows\System32\svchost.exe
NT AUTHORITY\NETWORK SERVICE
udp
False
True
ff02:0:0:0:0:0:1:3
5355
llmnr
True
fe80:0:0:0:647b:25b7:1cc4:b972
PC02
49478

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:06,Microsoft-Windows-Sysmon,5,(5),"The description for Event ID 5 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:06.971
EV_RenderedValue_2.00
3712
C:\Windows\System32\TSTheme.exe

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:06,Microsoft-Windows-Sysmon,5,(5),"The description for Event ID 5 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:06.400
EV_RenderedValue_2.00
3344
C:\Windows\System32\csrss.exe

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:06,Microsoft-Windows-Sysmon,5,(5),"The description for Event ID 5 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:06.190
EV_RenderedValue_2.00
2516
C:\Windows\System32\winlogon.exe

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:35:06,Microsoft-Windows-Sysmon,5,(5),"The description for Event ID 5 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:06.190
EV_RenderedValue_2.00
3780
C:\Windows\System32\LogonUI.exe

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:34:05,Microsoft-Windows-Sysmon,1,(1),"The description for Event ID 1 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:04:05.453
EV_RenderedValue_2.00
3712
C:\Windows\System32\TSTheme.exe
6.1.7600.16385 (win7_rtm.090713-1255)
TSTheme Server Module
Microsoft® Windows® Operating System
Microsoft Corporation
C:\Windows\system32\TSTheme.exe -Embedding
C:\Windows\system32\
PC01\IEUser
EV_RenderedValue_12.00
157270
1
High
SHA1=9F071CE21298C2BA5E47E77A198E3C694EEA9A85
EV_RenderedValue_17.00
624
C:\Windows\System32\svchost.exe
C:\Windows\system32\svchost.exe -k DcomLaunch

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:34:05,Microsoft-Windows-Sysmon,1,(1),"The description for Event ID 1 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:04:05.232
EV_RenderedValue_2.00
2920
C:\Windows\System32\LogonUI.exe
6.1.7601.17514 (win7sp1_rtm.101119-1850)
Windows Logon User Interface Host
Microsoft® Windows® Operating System
Microsoft Corporation
""LogonUI.exe"" /flags:0x0
C:\Windows\system32\
NT AUTHORITY\SYSTEM
EV_RenderedValue_12.00
999
3
System
SHA1=6FCAD4F6BB71049744D25F2B53A651AC5AA79187
EV_RenderedValue_17.00
2988
C:\Windows\System32\winlogon.exe
winlogon.exe

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:34:05,Microsoft-Windows-Sysmon,6,(6),"The description for Event ID 6 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:04:05.072
C:\Windows\System32\VBoxDisp.dll
SHA1=0D14114598EE4A3080B9F9083AE5A3339D429737
true
Oracle Corporation
Valid

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:34:05,Microsoft-Windows-Sysmon,6,(6),"The description for Event ID 6 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:04:05.072
C:\Windows\System32\vga.dll
SHA1=00F4056FD5FE28EC255B4521EE18C700BCF9CEEB
true
Microsoft Windows
Valid

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:34:05,Microsoft-Windows-Sysmon,6,(6),"The description for Event ID 6 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:04:05.072
C:\Windows\System32\VBoxDisp.dll
SHA1=0D14114598EE4A3080B9F9083AE5A3339D429737
true
Oracle Corporation
Valid

The message resource is present but the message was not found in the message table
"
