remnux@remnux:~/Documents/CTF/yukthiCTF$ sudo python3 /opt/volatility/vol.py -f ~/Documents/CTF/yukthiCTF/RAM.vmem windows.filescan
Volatility 3 Framework 2.5.2
WARNING  volatility3.framework.layers.vmware: No metadata file found alongside VMEM file. A VMSS or VMSN file may be required to correctly process a VMEM file. These should be placed in the same directory with the same file name, e.g. RAM.vmem and RAM.vmss.
Progress:  100.00		PDB scanning finished                        
0x17b5840	\WINDOWS\system32\drivers	112
0x17b58d8	\WINDOWS\Fonts	112
0x17b6028	\WINDOWS\system32\mui\0404	112
0x17b6648	\{9B365890-165F-11D0-A195-0020AFD156E4}	112
0x17b68d0	\atsvc	112
0x17b6b68	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x17b6f50	\WINDOWS\system32\mui\0408	112
0x17b7390	\WINDOWS\system32\perfc009.dat	112
0x17b79f8	\$Directory	112
0x17b7b58	\WINDOWS\system32\oobe\msoobe.exe	112
0x17b7ce8	\$Directory	112
0x17b7e78	\WINDOWS\WinSxS\x86_Microsoft.VC80.MFCLOC_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_91481303\mfc80ENU.dll	112
0x17b9380	\$Directory	112
0x17bac50	\wkssvc	112
0x17bb418	\System Volume Information\tracking.log	112
0x17bc2e0	\Documents and Settings\Administrator\Local Settings\desktop.ini	112
0x17be028	\WINDOWS\system32\ssdpapi.dll	112
0x17bf2b0	\WINDOWS\system32\mui\0427	112
0x17c1028	\Endpoint	112
0x17c2388	\Program Files\Common Files\Microsoft Shared\web server extensions\40\isapi\_vti_aut	112
0x17c2960	\WINDOWS\WindowsUpdate.log	112
0x17c29f8	\WINDOWS\WindowsUpdate.log	112
0x17c2a90	\WINDOWS\WindowsUpdate.log	112
0x17c2c60	\Program Files\Common Files\Microsoft Shared\web server extensions\40\bin	112
0x17c2ef8	\WINDOWS\system32\inetsrv	112
0x17c2f90	\Program Files\Common Files\Microsoft Shared\web server extensions\40\_vti_bin\_vti_aut	112
0x17c3280	\$Directory	112
0x17c3538	\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700	112
0x17c3df8	\Program Files\Windows Media Player	112
0x17c3f90	\WINDOWS\system32\themeui.dll	112
0x17c4320	\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.Networking.Dxmrtp_6595b64144ccf1df_5.2.2.3_x-ww_468466a7.Manifest	112
0x17c4488	\WINDOWS\msagent	112
0x17c4818	\Program Files\MSN Gaming Zone\Windows	112
0x17c48d8	\WINDOWS\msagent\intl	112
0x17c5038	\$Directory	112
0x17c5488	\Program Files\Adobe\Reader 9.0\Reader\reader_sl.exe	112
0x17c58d0	\$Directory	112
0x17c6c80	\Documents and Settings\NetworkService\ntuser.dat.LOG	112
0x17c7448	\WINDOWS\ime\imkr6_1\applets	112
0x17c7818	\WINDOWS\ime\imjp8_1\applets	112
0x17c78d8	\Program Files\Internet Explorer	112
0x17c88d8	\Documents and Settings\NetworkService\Local Settings\desktop.ini	112
0x17c9848	\Program Files\Common Files\Microsoft Shared\web server extensions\40\isapi	112
0x17c9c68	\Program Files\Common Files\Microsoft Shared\DAO	112
0x17c9d00	\WINDOWS	112
0x17ca528	\Program Files\Common Files\Microsoft Shared\Speech	112
0x17cb718	\WINDOWS\system32\stobject.dll	112
0x17cb830	\WINDOWS\system32\config\AppEvent.Evt	112
0x17cb8d8	\$Directory	112
0x17cc6f8	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x17cc9d8	\PROGRA~1\MSNGAM~1\Windows\Rvseres.dll	112
0x17ccb68	\net\NtControlPipe4	112
0x17d0028	\WINDOWS\system32\usbmon.dll	112
0x17d05a8	\DAV RPC SERVICE	112
0x17d1460	\WINDOWS\system32\midimap.dll	112
0x17d2028	\WINDOWS\system32\mui\0412	112
0x17d2118	\WINDOWS\system32\mui\0413	112
0x17d5940	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x17d5f90	\wkssvc	112
0x17d6980	\Ctx_WinStation_API_service	112
0x17d7028	\WINDOWS\system32\hnetwiz.dll	112
0x17d8440	\WINDOWS\system32\config\SECURITY	112
0x17d8758	\WINDOWS\system32\config\software	112
0x17d8ea8	\WINDOWS\system32\mui\0804	112
0x17d8f90	\WINDOWS\system32\mui\0424	112
0x17da560	\$Directory	112
0x17db028	\WINDOWS\system32	112
0x17dd4e8	\Endpoint	112
0x17ddaa0	\PCHFaultRepExecPipe	112
0x17e6800	\WINDOWS\system32\lsass.exe	112
0x17e75d0	\WINDOWS\system32\ntmarta.dll	112
0x17e7eb8	\WINDOWS\system32\schannel.dll	112
0x17e8e10	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x17ea5e0	\WINDOWS\system32\url.dll	112
0x17eb028	\WINDOWS\system32\wbem\Logs\wbemess.log	112
0x17ec380	\WINDOWS\system32\crypt32.dll	112
0x17ec4a8	\WINDOWS\system32\icmp.dll	112
0x17ec618	\WINDOWS\system32\trkwks.dll	112
0x17ec7f8	\WINDOWS\system32\dssenh.dll	112
0x17f6028	\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700\msvcp80.dll	112
0x17f61d8	\Program Files\VMware\VMware Tools\sigc-2.0.dll	112
0x17f64e0	\winlogonrpc	112
0x17f7218	\WINDOWS\system32\perfos.dll	112
0x17f7388	\WINDOWS\system32\netrap.dll	112
0x17f74f8	\WINDOWS\system32\mstlsapi.dll	112
0x17f7968	\WINDOWS\system32\wups.dll	112
0x17f7ba0	\WINDOWS\system32\wuaucpl.cpl	112
0x17f7dc0	\WINDOWS\system32\wdigest.dll	112
0x17f7e58	\WINDOWS\system32\wuauclt.exe	112
0x17f8028	\WINDOWS\system32\duser.dll	112
0x17f8228	\WINDOWS\system32\lmhsvc.dll	112
0x17f83f8	\WINDOWS\system32\oleaccrc.dll	112
0x17f85f0	\WINDOWS\system32\winspool.drv	112
0x17f87c0	\WINDOWS\system32\wlnotify.dll	112
0x17f89f8	\WINDOWS\system32\cscdll.dll	112
0x17f8c28	\WINDOWS\system32\oleacc.dll	112
0x17f8e58	\WINDOWS\system32\msimg32.dll	112
0x17f9738	\WINDOWS\WinSxS\Policies\x86_policy.8.0.Microsoft.VC80.MFCLOC_1fc8b3b9a1e18e3b_x-ww_caeee150\8.0.50727.762.policy	112
0x17f99e0	\WINDOWS\Fonts\wst_swed.fon	112
0x17f9bb0	\WINDOWS\Fonts\wst_span.fon	112
0x17f9d80	\WINDOWS\Fonts\wst_ital.fon	112
0x17f9f28	\WINDOWS\Fonts\wst_germ.fon	112
0x17fa1a8	\WINDOWS\system32\winsrv.dll	112
0x17fa2e8	\WINDOWS\system32\wbem\ncprov.dll	112
0x17fa3f8	\$Directory	112
0x17fa5c8	\$Directory	112
0x17fa698	\WINDOWS\system32\autochk.exe	112
0x17fa780	\WINDOWS\system32\sfcfiles.dll	112
0x17fa948	\WINDOWS\system32\advapi32.dll	112
0x17faba0	\WINDOWS\system32\comctl32.dll	112
0x17fad70	\WINDOWS\system32\comdlg32.dll	112
0x17fb1f8	\$Directory	112
0x17fb3c8	\$Directory	112
0x17fb810	\$Directory	112
0x17fb910	\lsass	112
0x17fba28	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x17fbbf8	\$Directory	112
0x17fbcf8	\$Directory	112
0x18040b0	\Documents and Settings\All Users\Start Menu\Programs\Accessories\Entertainment\desktop.ini	112
0x1805eb8	\WINDOWS\system32\wkssvc.dll	112
0x1808028	\WINDOWS\system32\wscsvc.dll	112
0x1808278	\WINDOWS\system32\wbem\esscli.dll	112
0x18085b8	\WINDOWS\system32\wbem\wbemcore.dll	112
0x1808a60	\WINDOWS\system32\wbem\wbemcomn.dll	112
0x1808c30	\WINDOWS\system32\wbem\wbemprox.dll	112
0x1808e58	\WINDOWS\system32\msi.dll	112
0x1809178	\WINDOWS\system32\rsaenh.dll	112
0x1809590	\WINDOWS\system32\wdigest.dll	112
0x1809760	\WINDOWS\system32\w32time.dll	112
0x1809a38	\WINDOWS\system32\netlogon.dll	112
0x1809c60	\WINDOWS\system32\iphlpapi.dll	112
0x1809ec0	\WINDOWS\system32\msv1_0.dll	112
0x180a248	\Documents and Settings\All Users\Start Menu	112
0x180a370	\Endpoint	112
0x180a728	\WINDOWS\system32\vga.dll	112
0x180ae58	\WINDOWS\Fonts\vgasys.fon	112
0x180b028	\WINDOWS\system32\drivers\vmmouse.sys	112
0x1811d00	\WINDOWS\system32\gdi32.dll	112
0x1814130	\WINDOWS\system32\rsaenh.dll	112
0x18168d8	\WINDOWS\system32\ole32.dll	112
0x1816d20	\WINDOWS\system32\scesrv.dll	112
0x1817338	\WINDOWS\system32\samlib.dll	112
0x18174e0	\WINDOWS\WindowsUpdate.log	112
0x1817578	\WINDOWS\WindowsUpdate.log	112
0x1817610	\WINDOWS\WindowsUpdate.log	112
0x18176a8	\WINDOWS\WindowsUpdate.log	112
0x1817b88	\WINDOWS\system32\ntdsapi.dll	112
0x1817eb8	\WINDOWS\system32\samsrv.dll	112
0x181a1b0	\WINDOWS\system32\netmsg.dll	112
0x181a320	\WINDOWS\system32\srvsvc.dll	112
0x181a7f8	\WINDOWS\system32\comctl32.dll	112
0x181b2c8	\WINDOWS\system32\mtxclu.dll	112
0x181b458	\WINDOWS\system32\comsvcs.dll	112
0x181b7f8	\WINDOWS\system32\oleacc.dll	112
0x181bd00	\WINDOWS\system32\wlnotify.dll	112
0x182e078	\WINDOWS\system32\drivers\etc\hosts	112
0x182e5a0	\$Directory	112
0x182e638	\WINDOWS\system32\Microsoft\Protect\S-1-5-18\User\579bdce1-bf02-4331-9825-fe61cd63b93d	112
0x182e830	\WINDOWS\system32\perfdisk.dll	112
0x182ea60	\WINDOWS\system32\perfproc.dll	112
0x182ec90	\WINDOWS\system32\perfos.dll	112
0x182f0d0	\WINDOWS	112
0x182f8e8	\WINDOWS\system32\config\system	112
0x182f988	\Endpoint	112
0x1832028	\WINDOWS\WinSxS\x86_Microsoft.VC80.MFCLOC_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_91481303	112
0x18321b0	\WINDOWS\system32\msxml3.dll	112
0x1832248	\WINDOWS\system32\resutils.dll	112
0x18323b8	\WINDOWS\system32\clusapi.dll	112
0x18332d0	\WINDOWS\system32\gdi32.dll	112
0x1833578	\WINDOWS\system32\imagehlp.dll	112
0x1833618	\WINDOWS\system32\cscui.dll	112
0x18336f0	\WINDOWS\system32\msvcrt.dll	112
0x18338e8	\WINDOWS\system32\wininet.dll	112
0x1833e48	\WINDOWS\system32\kernel32.dll	112
0x18346b0	\$Directory	112
0x18347b0	\WINDOWS\system32\drivers\vmx_svga.sys	112
0x1834bb0	\$Directory	112
0x1834ee0	\Documents and Settings\All Users\Start Menu\Programs\Accessories\Accessibility\desktop.ini	112
0x1834f90	\WINDOWS\system32\vmx_fb.dll	112
0x1835028	\$MftMirr	112
0x1835a30	\$LogFile	112
0x1843120	\WINDOWS\system32\wuaueng.dll	112
0x18432f0	\WINDOWS\system32\wuauserv.dll	112
0x1843500	\WINDOWS\system32\vssapi.dll	112
0x1843808	\WINDOWS\system32\wbem\wmisvc.dll	112
0x1843af0	\WINDOWS\system32\wbem\mof	112
0x1843d08	\WINDOWS\system32\dssenh.dll	112
0x1844078	\WINDOWS\system32\samlib.dll	112
0x1844248	\WINDOWS\system32\dnsapi.dll	112
0x1844418	\WINDOWS\system32\cryptdll.dll	112
0x1844650	\WINDOWS\system32\samsrv.dll	112
0x1844788	\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700\msvcr80.dll	112
0x18449c8	\WINDOWS\system32\lsasrv.dll	112
0x1844ad0	\Program Files\VMware\VMware Tools\Drivers\memctl\vmmemctl.sys	112
0x1844b68	\WINDOWS\system32\wsock32.dll	112
0x1844da8	\WINDOWS\system32\uxtheme.dll	112
0x1845748	\WINDOWS\system32\userenv.dll	112
0x18458d0	\$Directory	112
0x1845d60	\WINDOWS\system32\cryptui.dll	112
0x1845f90	\WINDOWS\system32\olesvr32.dll	112
0x18460e8	\WINDOWS\system32\drivers\vmx_svga.sys	112
0x18462b8	\WINDOWS\system32\drivers\vmci.sys	112
0x18465c0	\WINDOWS\system32\version.dll	112
0x1846890	\WINDOWS\system32\drivers\vmci.sys	112
0x184c150	\WINDOWS\system32\eventlog.dll	112
0x184c250	\WINDOWS\system32\hnetcfg.dll	112
0x184dac8	\WINDOWS\system32\nddeapi.dll	112
0x18503e8	\WINDOWS\system32\schedsvc.dll	112
0x1850700	\WINDOWS\system32\raschap.dll	112
0x1850960	\WINDOWS\system32\riched20.dll	112
0x1850b80	\WINDOWS\system32\tapi32.dll	112
0x1850da8	\WINDOWS\system32\rasman.dll	112
0x1850f90	\WINDOWS\system32\rasapi32.dll	112
0x1851038	\$Directory	112
0x1851150	\Documents and Settings\Administrator\My Documents\desktop.ini	112
0x18514e0	\$Directory	112
0x1851720	\WINDOWS\Fonts\smalle.fon	112
0x18518f0	\WINDOWS\Fonts\modern.fon	112
0x1851ac0	\WINDOWS\Fonts\script.fon	112
0x18522b8	\WINDOWS\system32\version.dll	112
0x1852558	\WINDOWS\system32\vga.dll	112
0x1852668	\WINDOWS\system32\lmhsvc.dll	112
0x1852908	\WINDOWS\system32\regapi.dll	112
0x1852e00	\WINDOWS\Fonts\ega80woa.fon	112
0x1852f90	\WINDOWS\Fonts\dosapp.fon	112
0x1853698	\ntsvcs	112
0x1853ac0	\lsass	112
0x1853c68	\WINDOWS\system32\wbem\Repository\$WinMgmt.CFG	112
0x1853dc0	\protected_storage	112
0x1853f90	\WINDOWS\win.ini	112
0x1866120	\WINDOWS\system32\scesrv.dll	112
0x18662f0	\WINDOWS\system32\lsass.exe	112
0x18664c0	\WINDOWS\system32	112
0x18666b8	\WINDOWS\system32	112
0x1866aa8	\WINDOWS\WinSxS\Policies\x86_policy.5.1.Microsoft.Windows.SystemCompatible_6595b64144ccf1df_x-ww_a0111510\5.1.2600.2000.Policy	112
0x1866dd8	\$Directory	112
0x1866e70	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1867028	\InitShutdown	112
0x1867218	\$Directory	112
0x18672b0	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x18675e0	\$Directory	112
